Washington January-December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
201512,50,3.9
201612,48.6,2.5
201712,46.8,0.7
201812,48.1,2
201912,46.5,0.4
202012,48.1,2
202112,48.3,2.2
202212,47.1,1
202312,48.4,2.3
,47.98888889,
