Massachusetts January-December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
201512,48.5,1.6
201612,50.3,3.4
201712,49.6,2.7
201812,49.5,2.6
201912,48.5,1.6
202012,50.9,4
202112,50.8,3.9
202212,50.3,3.4
202312,51.3,4.4
,49.96666667,
