"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","PoliticalLeaning"
"Arkansas",2022,33,4,3.52636052461616,0,1,2018,2019,201808,2018,201803,2018,2018,1,20.4,22.6,2915918,3011555,3045637,908.7,61.7555555555556,"Republicans"
"California",2015,243,5,5.4971682252932,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2016,280,5,5.63835466933375,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2017,310,5,5.73979291217923,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2018,323,5,5.78074351579233,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2019,576,5,6.3578422665081,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2020,1118,5,7.02019070831193,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2021,1018,5,6.92657703322272,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"California",2022,814,5,6.70318811324086,0,0,0,0,0,0,0,0,0,0,26.2,29.4,37253956,39538245,39029342,632.9,59.8777777777778,"Democrat"
"Colorado",2015,28,6,3.36729582998647,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2016,74,6,4.31748811353631,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2017,77,6,4.35670882668959,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2018,83,6,4.43081679884331,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2019,90,6,4.51085950651685,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2020,188,6,5.24174701505964,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2021,233,6,5.4553211153577,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Colorado",2022,167,6,5.12396397940326,0,1,2018,2018,201805,2015,201408,2014,2015,1,26.9,30.9,5029196,5773733,5839926,680.4,46.8888888888889,"Democrat"
"Connecticut",2015,68,7,4.23410650459726,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2016,97,7,4.58496747867057,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2017,128,7,4.85981240436167,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2018,100,7,4.61512051684126,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2019,100,7,4.61512051684126,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2020,97,7,4.58496747867057,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2021,74,7,4.31748811353631,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Connecticut",2022,37,7,3.63758615972639,0,1,2016,2017,201607,0,0,2016,2017,1,36.6,38.9,3574097,3605942,3626205,672,51.0555555555556,"Democrat"
"Delaware",2015,0,8,0,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2016,0,8,0,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2017,18,8,2.94443897916644,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2018,12,8,2.56494935746154,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2019,21,8,3.09104245335832,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2020,20,8,3.04452243772342,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2021,13,8,2.63905732961526,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"Delaware",2022,20,8,3.04452243772342,0,1,2017,2017,201704,0,0,2017,2017,1,26.3,27.9,897934,989957,1018396,764.1,57.3111111111111,"Democrat"
"District of Columbia",2015,0,9,0,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2016,0,9,0,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2017,0,9,0,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2018,0,9,0,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2019,0,9,0,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2020,10,9,2.39789527279837,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2021,12,9,2.56494935746154,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"District of Columbia",2022,12,9,2.56494935746154,0,0,0,0,0,2019,201810,2018,2019,0,74.1,72.8,601723,689546,671803,749.3,60.37,"Democrat"
"Florida",2015,230,10,5.44241771052179,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2016,360,10,5.88887795833288,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2017,340,10,5.83188247728352,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2018,285,10,5.65599181081985,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2019,344,10,5.84354441703136,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2020,460,10,6.13339804299665,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2021,426,10,6.05678401322862,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Florida",2022,372,10,5.92157841964382,0,1,2018,2019,201807,0,0,2018,2019,0,26,28.6,18801310,21538226,22244823,675.3,72.8111111111111,"Swing State"
"Georgia",2015,121,11,4.80402104473326,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2016,96,11,4.57471097850338,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2017,143,11,4.969813299576,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2018,100,11,4.61512051684126,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2019,98,11,4.59511985013459,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2020,168,11,5.12989871492307,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2021,201,11,5.30826769740121,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Georgia",2022,225,11,5.42053499927229,0,0,0,0,0,0,0,0,0,1,21.3,24.4,9687653,10711937,10912876,814.7,65.4222222222222,"Swing State"
"Idaho",2015,0,12,0,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2016,0,12,0,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2017,0,12,0,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2018,0,12,0,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2019,14,12,2.70805020110221,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2020,10,12,2.39789527279837,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2021,24,12,3.2188758248682,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Idaho",2022,22,12,3.13549421592915,0,0,0,0,0,0,0,0,0,0,18.3,19.8,1567582,1839092,1939033,744.1,44.4888888888889,"Republicans"
"Illinois",2015,202,13,5.31320597904179,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2016,244,13,5.50125821054473,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2017,283,13,5.64897423816121,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2018,280,13,5.63835466933375,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2019,203,13,5.31811999384422,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2020,308,13,5.73334127689775,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2021,309,13,5.73657229747919,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Illinois",2022,279,13,5.63478960316925,1,0,0,0,0,0,0,0,0,0,27.8,30.7,12830632,12812545,12582032,743.8,53.3888888888889,"Democrat"
"Indiana",2015,74,14,4.31748811353631,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
