"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicy","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","PhysicianDensity","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","LogAvgTemp","PoliticalLeaning","OpioidPrescribingRate"
"Alabama",2015,0,1,0,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2016,0,1,0,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2017,0,1,0,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2018,0,1,0,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2019,10,1,2.39789527279837,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2020,0,1,0,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2021,22,1,3.13549421592915,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alabama",2022,46,1,3.85014760171006,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.862
"Alaska",2015,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2016,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2017,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2018,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2019,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2020,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2021,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Alaska",2022,10,2,2.39789527279837,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.662
"Arizona",2015,14,3,2.70805020110221,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.096
"Arizona",2016,32,3,3.49650756146648,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.096
"Arizona",2017,33,3,3.52636052461616,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.096
