"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicy","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","PhysicianDensity","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","LogAvgTemp","PoliticalLeaning","OpioidPrescribingRate"
"Alabama",2015,85,1,4.45434729625351,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2016,139,1,4.9416424226093,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2017,140,1,4.94875989037817,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2018,167,1,5.12396397940326,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2019,156,1,5.05624580534831,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2020,261,1,5.5683445037611,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2021,459,1,6.13122648948314,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alabama",2022,455,1,6.12249280951439,0,0,0,0,0,2019,1,201811,2018,2019,0,21.5,23.7,22.6,4779736,5024356,5074296,941.7,64.8111111111111,4.17147705642337,"Republican",3.853
"Alaska",2015,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2016,26,2,3.29583686600433,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2017,22,2,3.13549421592915,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2018,0,2,0,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2019,36,2,3.61091791264422,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2020,32,2,3.49650756146648,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2021,77,2,4.35670882668959,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Alaska",2022,70,2,4.26267987704132,0,1,2017,2018,201707,2019,1,201811,2017,2018,0,24.5,28.3,26.4,710231,733378,733583,730.6,29.4222222222222,3.38175024672663,"Republican",5.658
"Arizona",2015,181,3,5.2040066870768,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
"Arizona",2016,190,3,5.25227342804663,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
"Arizona",2017,259,3,5.56068163101553,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
"Arizona",2018,308,3,5.73334127689775,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
"Arizona",2019,369,3,5.91350300563827,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
"Arizona",2020,536,3,6.28599809450886,0,1,2018,2018,201804,0,0,0,2018,2018,1,22.6,26.5,24.55,6392017,7151507,7359197,697.8,61.8111111111111,4.12408313974503,"Swing State",5.101
